名称,类型,创建时间
003.纳金斯箱效应,转化/心理学效应,2023年7月1日 17:03
004.锚点效应,转化/心理学效应,2023年7月1日 17:03
000.营销心理学,营销基础,2023年7月1日 17:03
002.路径依赖,转化/心理学效应,2023年7月1日 17:03
001.鸟笼效应,转化/心理学效应,2023年7月1日 17:03
005.大数法则,转化/心理学效应,2023年7月1日 17:22
006.光晕效应,转化/心理学效应,2023年7月1日 17:24
007.禀赋效应,转化/心理学效应,2023年7月1日 17:24
